date,product,category,units_sold,revenue,price,discount_pct,ad_spend,promo
2024-01-01,Wireless Headphones,Electronics,88,8565.92,97.34,0.00,126.08,false
2024-01-01,Smart Home Speaker,Electronics,78,9831.12,126.04,0.00,93.70,true
2024-01-01,Organic Coffee,Groceries,184,2809.68,15.27,0.00,195.96,false
2024-01-01,Trail Backpack,Outdoor,59,4853.93,82.27,0.00,81.79,true
2024-01-01,Camping Lantern,Outdoor,59,2054.38,38.69,10.00,60.41,false
2024-01-02,Wireless Headphones,Electronics,100,7547.00,83.86,10.00,82.88,false
2024-01-02,Smart Home Speaker,Electronics,65,8350.55,128.47,0.00,70.20,false
2024-01-02,Organic Coffee,Groceries,215,3147.60,15.91,8.00,209.63,true
2024-01-02,Trail Backpack,Outdoor,73,4237.65,72.56,20.00,89.49,false
2024-01-02,Camping Lantern,Outdoor,46,1995.94,43.39,0.00,58.26,false
2024-01-03,Wireless Headphones,Electronics,99,9719.82,98.18,0.00,120.79,false
2024-01-03,Smart Home Speaker,Electronics,55,7116.45,129.39,0.00,63.00,false
2024-01-03,Organic Coffee,Groceries,172,2690.08,15.64,0.00,176.26,false
2024-01-03,Trail Backpack,Outdoor,47,3421.60,72.80,0.00,79.02,false
2024-01-03,Camping Lantern,Outdoor,58,2197.62,37.89,0.00,75.40,false
2024-01-04,Wireless Headphones,Electronics,91,8957.13,98.43,0.00,76.25,false
2024-01-04,Smart Home Speaker,Electronics,69,8787.15,127.35,0.00,81.60,true
2024-01-04,Organic Coffee,Groceries,221,2987.92,15.02,10.00,127.86,true
2024-01-04,Trail Backpack,Outdoor,73,4131.80,70.74,20.00,63.88,false
2024-01-04,Camping Lantern,Outdoor,56,2216.48,39.58,0.00,87.13,false
2024-01-05,Wireless Headphones,Electronics,73,7116.04,97.48,0.00,122.94,false
2024-01-05,Smart Home Speaker,Electronics,61,7462.13,122.33,0.00,86.85,false
2024-01-05,Organic Coffee,Groceries,202,2555.30,14.45,12.50,216.31,false
2024-01-05,Trail Backpack,Outdoor,45,3281.40,72.92,0.00,86.25,false
2024-01-05,Camping Lantern,Outdoor,71,2400.51,39.78,15.00,69.88,false
2024-01-06,Wireless Headphones,Electronics,105,9431.10,89.82,0.00,93.15,false
2024-01-06,Smart Home Speaker,Electronics,56,6517.84,133.01,12.50,95.94,false
2024-01-06,Organic Coffee,Groceries,188,2844.44,15.13,0.00,147.82,false
2024-01-06,Trail Backpack,Outdoor,50,3868.00,77.36,0.00,64.84,true
2024-01-06,Camping Lantern,Outdoor,68,2613.24,38.43,0.00,65.75,false
2024-01-07,Wireless Headphones,Electronics,77,7398.93,96.09,0.00,112.43,false
2024-01-07,Smart Home Speaker,Electronics,60,7111.20,118.52,0.00,75.06,false
2024-01-07,Organic Coffee,Groceries,235,3611.95,15.37,0.00,179.78,false
2024-01-07,Trail Backpack,Outdoor,47,3592.21,76.43,0.00,67.23,false
2024-01-07,Camping Lantern,Outdoor,54,2344.68,43.42,0.00,61.71,false
2024-01-08,Wireless Headphones,Electronics,103,9072.24,88.08,0.00,133.38,false
2024-01-08,Smart Home Speaker,Electronics,71,8054.24,113.44,0.00,99.61,false
2024-01-08,Organic Coffee,Groceries,218,3121.76,14.32,0.00,228.36,false
2024-01-08,Trail Backpack,Outdoor,63,4503.24,79.42,10.00,65.02,false
2024-01-08,Camping Lantern,Outdoor,62,2307.02,37.21,0.00,81.92,false
2024-01-09,Wireless Headphones,Electronics,114,10363.74,90.91,0.00,99.45,false
2024-01-09,Smart Home Speaker,Electronics,64,8143.36,127.24,0.00,82.94,false
2024-01-09,Organic Coffee,Groceries,178,2545.40,14.30,0.00,170.20,false
2024-01-09,Trail Backpack,Outdoor,62,4114.32,78.07,15.00,77.38,false
2024-01-09,Camping Lantern,Outdoor,58,2406.42,41.49,0.00,62.07,true
2024-01-10,Wireless Headphones,Electronics,140,11179.00,93.94,15.00,93.82,false
2024-01-10,Smart Home Speaker,Electronics,83,11045.64,133.08,0.00,91.99,true
2024-01-10,Organic Coffee,Groceries,201,3246.15,16.15,0.00,119.16,true
2024-01-10,Trail Backpack,Outdoor,42,3163.02,75.31,0.00,85.00,false
2024-01-10,Camping Lantern,Outdoor,58,1869.34,36.84,12.50,56.67,false
2024-01-11,Wireless Headphones,Electronics,85,7612.60,89.56,0.00,118.20,false
2024-01-11,Smart Home Speaker,Electronics,65,7387.90,113.66,0.00,100.13,false
2024-01-11,Organic Coffee,Groceries,171,2496.60,14.60,0.00,150.58,false
